[mine_patterns] lang=de  ai_docs=132  human_docs=46  ngrams=1-4  top=100  min_count=3
[mine_patterns] 100 candidates surfaced.
rank	ngram	n	ai_count	human_count	ai_freq_ppm	human_freq_ppm	llr
43	sich	1	207	70	7046.33	3531.61	27.5801
44	rolle	1	33	1	1123.33	50.45	26.8275
45	position	1	33	1	1123.33	50.45	26.8275
46	zentrale	1	26	0	885.05	0.0	26.8133
47	ganzheitliche	1	26	0	885.05	0.0	26.8133
48	wichtig zu	2	26	0	885.05	0.0	26.8133
49	bietet	1	37	2	1259.49	100.9	26.0166
50	darstellt	1	25	0	851.01	0.0	25.7820
51	innovative	1	25	0	851.01	0.0	25.7820
52	nahtlose	1	25	0	851.01	0.0	25.7820
53	jamaica	1	25	0	851.01	0.0	25.7820
54	digitale	1	31	1	1055.25	50.45	24.8881
55	möglicherweise	1	30	1	1021.21	50.45	23.9213
56	transformative	1	23	0	782.93	0.0	23.7195
57	sagen dass	2	23	0	782.93	0.0	23.7195
58	hinblick	1	22	0	748.89	0.0	22.6882
59	im hinblick	2	22	0	748.89	0.0	22.6882
60	hinblick auf	2	22	0	748.89	0.0	22.6882
61	der heutigen	2	22	0	748.89	0.0	22.6882
62	im hinblick auf	3	22	0	748.89	0.0	22.6882
63	sich sagen dass	3	22	0	748.89	0.0	22.6882
64	lässt sich sagen dass	4	22	0	748.89	0.0	22.6882
65	new	1	37	3	1259.49	151.35	22.3013
66	nachhaltige	1	21	0	714.84	0.0	21.6569
67	mit großem	2	21	0	714.84	0.0	21.6569
68	großem interesse	2	21	0	714.84	0.0	21.6569
69	dass ich	2	21	0	714.84	0.0	21.6569
70	gemäß den	2	21	0	714.84	0.0	21.6569
71	mit großem interesse	3	21	0	714.84	0.0	21.6569
72	in der heutigen	3	21	0	714.84	0.0	21.6569
73	es lässt sich feststellen	4	21	0	714.84	0.0	21.6569
74	sagen	1	36	3	1225.45	151.35	21.4280
75	city	1	32	2	1089.29	100.9	21.4246
76	daten	1	43	5	1463.73	252.26	21.3585
77	wörter	1	20	0	680.8	0.0	20.6256
78	wohlbefinden	1	20	0	680.8	0.0	20.6256
79	ausgeprägte	1	20	0	680.8	0.0	20.6256
80	festhalten	1	20	0	680.8	0.0	20.6256
81	vereinbarung	1	20	0	680.8	0.0	20.6256
82	geltenden	1	20	0	680.8	0.0	20.6256
83	viertel	1	20	0	680.8	0.0	20.6256
84	überzeugt dass	2	20	0	680.8	0.0	20.6256
85	nicht zuletzt	2	20	0	680.8	0.0	20.6256
86	es sei	2	20	0	680.8	0.0	20.6256
87	york	1	34	3	1157.37	151.35	19.6945
88	new york	2	34	3	1157.37	151.35	19.6945
89	drin	1	19	0	646.76	0.0	19.5944
90	moderne	1	19	0	646.76	0.0	19.5944
91	feststellen dass	2	19	0	646.76	0.0	19.5944
92	darauf hin	2	19	0	646.76	0.0	19.5944
93	ist wichtig	2	19	0	646.76	0.0	19.5944
94	festhalten dass	2	19	0	646.76	0.0	19.5944
95	sich feststellen dass	3	19	0	646.76	0.0	19.5944
96	es ist wichtig	3	19	0	646.76	0.0	19.5944
97	ist wichtig zu	3	19	0	646.76	0.0	19.5944
98	lässt sich feststellen dass	4	19	0	646.76	0.0	19.5944
99	es ist wichtig zu	4	19	0	646.76	0.0	19.5944
100	passiv	1	25	1	851.01	50.45	19.1230
